CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last,logLogist_3_param_r2,logLogist_3_param
KINGS-1,907279,273,273_907279,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.985482555,0.992367445,0.91938824,0.789745796,0.572841997,0.1229801,0.025068632,0.020225392,-0.000499787,CUDC-101,KINGS-1,0.0145174449999999,0.020725179,0.995992761251682,[-2.50347671e-01 -4.49970819e+00 -4.09417662e-04]
CAL-27,910916,274,274_910916,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.963995559,0.884885755,0.750524081,0.317600865,0.059671837,0.00744893,0.005729363,0.005106824,0.004609278,Belinostat,CAL-27,0.036004441,0.000497546,0.9973862025540964,[-4.01854840e-01 -5.54295110e+00 -4.40675188e-04]
SBC-3,753610,308,308_753610,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.997636395,0.806837725,0.810339539,0.333490343,0.231627086,0.132126612,0.045105273,0.011254403,0.011251265,WIKI4,SBC-3,0.0023636049999999,3.137999999999752e-06,0.9787248692997654,[-0.38739189 -3.79708742  0.03473083]
HUTU-80,907073,272,272_907073,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988876868,0.920766872,0.810864206,0.502600852,0.07747797,-0.000444034,-0.008614143,-0.010892201,-0.011758591,AR-42,HUTU-80,0.011123132,0.0008663899999999,0.9972769078339093,[-0.35779916 -5.48615129 -0.01899113]
NCI-H2444,1298356,268,268_1298356,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988964998,0.965619904,0.505189685,0.059045745,0.023179647,0.017188038,0.014751289,0.016139811,0.012499878,Sepantronium bromide,NCI-H2444,0.0110350019999999,0.0036399329999999,0.9999125337279201,[ -0.47758824 -10.33443494   0.01673939]
HEL,907053,104,104_907053,2,0.02,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.974708226,0.940589575,0.929181322,0.898286965,0.62846621,0.250953326,0.03623652,0.029253971,0.033731017,Bortezomib,HEL,0.025291774,0.004477046,0.9967775412180521,[-0.22905438 -4.51755785  0.02221429]
NMC-G1,908449,170,170_908449,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.986038357,0.926004867,0.942195338,0.976929081,0.645821996,0.096650579,0.033273033,0.019794267,0.017002807,Shikonin,NMC-G1,0.013961643,0.0027914599999999,0.9953286466747026,[-0.23833916 -8.32576197  0.02304335]
NCI-H1993,908476,170,170_908476,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.952686453,0.91879844,0.879570829,0.890061843,0.961784415,0.615944247,0.062727521,0.040909139,0.035391817,Shikonin,NCI-H1993,0.047313547,0.0055173219999999,0.9781640778833298,[-0.1663867  -7.08965799  0.03149878]
EoL-1-cell,906856,265,265_906856,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.972205973,0.945149343,0.966598625,0.945717338,0.67151459,0.164653865,0.261915521,0.020137595,0.026334291,Tubastatin A,EoL-1-cell,0.027794027,0.0061966959999999,0.9743450175053007,[-0.23778509 -7.36300188  0.09620854]
BB65-RCC,753533,53,53_753533,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.950566467,0.952186961,0.902776013,0.92183799,0.80973595,0.832208304,0.186246693,0.032056983,0.0590351,CGP-60474,BB65-RCC,0.0494335329999999,0.026978117,0.9670542751067577,[-0.14239657 -5.27357001  0.03319055]
RD-ES,1330996,245,245_1330996,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.957891876,0.98837361,0.919399347,0.915396187,0.945279516,0.830946169,0.647909239,0.009645083,0.002649899,UNC0638,RD-ES,0.0421081239999999,0.006995184,0.9822019696115731,[-0.09574306 -3.37544567 -0.03955427]
SUP-M2,1331040,1022,1022_1331040,2,2.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.998780238,0.851466138,0.851678667,0.732023039,0.176065088,0.042454902,0.026843036,0.044235065,0.032810109,AZD7762,SUP-M2,0.0012197619999999,0.011424956,0.9816835366125956,[-0.31706236 -6.35681883  0.02516414]
KGN,924186,272,272_924186,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.960798253,0.928472581,0.665442013,0.700600578,0.418903613,0.258477476,0.108231848,0.028725404,0.011507427,AR-42,KGN,0.039201747,0.017217977,0.9851971889731331,[-0.28474793 -2.33619889  0.0120021 ]
SBC-3,753610,135,135_753610,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.990962569,0.717361399,0.391355495,0.12174964,0.089483788,0.069738716,0.058549708,0.048249435,0.031395411,Gemcitabine,SBC-3,0.0090374309999999,0.016854024,0.997398678985405,[-0.54262584 -5.25827619  0.05330897]
EVSA-T,906862,1053,1053_906862,2,4.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.978865655,0.804546402,0.705738033,0.452642259,0.246643521,0.128608672,0.080212301,0.057322652,0.055322486,MK-2206,EVSA-T,0.021134345,0.002000166,0.9972602461309633,[-0.38827577 -3.17947859  0.05729242]
PA-TU-8988T,1240201,167,167_1240201,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.950476022,0.921968751,0.948188596,0.669226201,0.787120192,0.634946332,0.476579613,0.010620151,0.011696322,OSU-03012,PA-TU-8988T,0.0495239779999999,0.001076171,0.9536994296404562,[-0.13273213 -1.72677051 -0.03956245]
BB30-HNC,753531,1003,1003_753531,2,0.1,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.958435758,0.696768579,0.865289791,0.529308683,0.281114434,0.218668784,0.156657802,0.117293081,0.096684332,Camptothecin,BB30-HNC,0.0415642419999999,0.0206087489999999,0.9554619961618211,[-0.36430261 -2.81824087  0.10666618]
BV-173,910710,1031,1031_910710,2,0.2,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.968177596,0.983069369,0.934230272,0.81848788,0.604722063,0.423254985,0.200793239,0.150928931,0.179069249,Elesclomol,BV-173,0.031822404,0.028140318,0.9969405746637092,[-0.23685858 -3.23322014  0.15878454]
MOLT-4,905958,86,86_905958,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.951705617,0.94167164,0.905155895,0.85499077,0.787176949,0.47977238,0.126814349,0.032951848,0.020826997,A-443654,MOLT-4,0.0482943829999999,0.0121248509999999,0.9925556183480693,[-0.18390141 -3.1673955   0.00702864]
NCI-H526,688025,133,133_688025,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.957998948,0.890021777,0.744936811,0.591396636,0.470180163,0.251791584,0.067115957,0.023458045,0.01856759,Doxorubicin,NCI-H526,0.042001052,0.004890455,0.9969203080857222,[-0.28763796 -2.34251489  0.00520769]
NMC-G1,908449,331,331_908449,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.983466282,0.963488947,0.843690977,0.795708015,0.612517667,0.325653858,0.238840753,0.229491708,0.187304966,QL-X-138,NMC-G1,0.016533718,0.042186742,0.9930161093428148,[-0.26379139 -3.26428541  0.19793655]
PCI-4B,1298531,1007,1007_1298531,2,0.0125,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.97898719,0.932312989,0.605634179,0.353257656,0.259814525,0.235316998,0.210407851,0.154314907,0.122885266,Docetaxel,PCI-4B,0.0210128099999999,0.0314296409999999,0.9900685494867374,[-0.45880498 -5.26397686  0.18708185]
A673,684052,173,173_684052,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.968118555,0.901264742,0.775081892,0.749791373,0.57765437,0.355790524,0.181993837,0.233015085,0.195514833,FH535,A673,0.031881445,0.037500252,0.9863522538561897,[-0.28055831 -2.59191977  0.18320025]
TT2609-C02,1240223,133,133_1240223,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.993014159,0.858954094,0.64575564,0.325972019,0.133373588,0.086757295,0.082219737,0.027762009,0.022257891,Doxorubicin,TT2609-C02,0.0069858409999999,0.005504118,0.9979124378127063,[-0.42759232 -4.40020886  0.04794226]
NCI-SNU-1,908444,274,274_908444,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.988558778,0.862464072,0.743867965,0.488255339,0.331277288,0.111819488,0.090220765,0.072234683,0.032303498,Belinostat,NCI-SNU-1,0.0114412219999999,0.0399311849999999,0.9962681142447951,[-0.35745158 -3.18431708  0.0531444 ]
HuCCT1,907069,346,346_907069,2,2.5,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.961882336,0.898869855,0.73554075,0.259879206,0.214497827,0.20056636,0.203336559,0.208613417,0.196100243,THZ-2-102-1,HuCCT1,0.038117664,0.0125131739999999,0.9929011798396078,[-0.44653978 -8.78367748  0.19949393]
451Lu,1287706,1060,1060_1287706,2,0.25,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.970556758,0.561432299,0.271706692,0.198666715,0.129361605,0.118428563,0.095361769,0.090546749,0.112835395,PD0325901,451Lu,0.029443242,0.022288646,0.9935691995683865,[-0.63700624 -5.73244778  0.11843577]
KOPN-8,1330933,32,32_1330933,2,2.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.984861945,0.967189297,0.779737002,0.224185521,0.198630356,0.22497069,0.193980995,0.175983761,0.150390517,Tozasertib,KOPN-8,0.0151380549999999,0.0255932439999999,0.9969714688645198,[ -0.44237949 -12.91973982   0.18791008]
L-363,924239,252,252_924239,2,1.28,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.958477043,0.958922167,0.911514465,0.447492882,0.00632506,0.003970124,0.002573498,0.003784997,0.003123437,WZ3105,L-363,0.0415229569999999,0.0006615599999999,0.9978097943630232,[-3.61664651e-01 -9.05951365e+00 -3.47631041e-03]
451Lu,1287706,1014,1014_1287706,2,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.950553846,0.501975208,0.298052911,0.220692325,0.192322189,0.164596249,0.148133362,0.135127695,0.100482446,Refametinib,451Lu,0.0494461539999999,0.0346452489999999,0.9879620524643034,[-0.67312523 -5.77075158  0.15895883]
BV-173,910710,306,306_910710,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.997499139,0.889397356,0.808272336,0.640737561,0.408418796,0.182200196,0.059528878,0.014235393,0.007448267,Fedratinib,BV-173,0.002500861,0.006787126,0.9990552628257314,[-0.29274128 -2.93355923  0.00676214]
YH-13,909905,268,268_909905,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.975007462,0.908447911,0.34299821,0.014267088,0.010561383,0.016221061,0.013361664,0.017305392,0.011231895,Sepantronium bromide,YH-13,0.024992538,0.0060734969999999,0.9993886268993493,[-0.51282942 -9.68447911  0.00989728]
SF126,909712,159,159_909712,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.986513451,0.943080137,0.823949971,0.907489085,0.738062407,0.495833779,0.162087162,0.048382501,0.043844984,HG6-64-1,SF126,0.013486549,0.004537517,0.9869037695272961,[-0.18521272 -2.83239694  0.023899  ]
MC-IXC,908118,176,176_908118,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.953280604,0.906370504,0.93525127,0.924546441,0.966232404,0.951859684,0.915403496,0.025332342,0.010294271,IPA-3,MC-IXC,0.0467193959999999,0.015038071,0.9825100361280359,[-8.18859088e-02 -8.17427857e+00  7.50169246e-03]
PF-382,909260,170,170_909260,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.955045975,0.899007056,0.916917661,0.667409497,0.392423611,0.019807572,0.001554447,0.007455742,0.000312625,Shikonin,PF-382,0.044954025,0.0071431169999999,0.9918088566424451,[-0.29229245 -4.35307287 -0.0141146 ]
KARPAS-45,907272,1058,1058_907272,2,4.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.994179732,0.887569365,0.703624852,0.505750113,0.358887712,0.203742607,0.165118874,0.092029092,0.128044111,Pictilisib,KARPAS-45,0.005820268,0.0360150189999999,0.9959081691155364,[-0.37140999 -3.09254321  0.12376041]
CHP-212,906820,275,275_906820,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.97916171,0.940565824,0.851702433,0.646485025,0.592350651,0.387775945,0.249239814,0.204137009,0.186444935,I-BET-762,CHP-212,0.02083829,0.017692074,0.9926365094635062,[-0.27727241 -2.52045818  0.18869837]
Hs-940-T,1298145,225,225_1298145,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.995414656,0.983841101,0.948135242,0.915964714,0.86741023,0.94506019,0.734303568,0.045752416,0.028124729,Genentech Cpd 10,Hs-940-T,0.0045853439999999,0.0176276869999999,0.9793326622924475,[-0.08969871 -4.72643961  0.00658318]
HCT-116,905936,272,272_905936,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.953252186,0.905793648,0.818980508,0.440028055,0.262157124,0.140114164,0.038543888,0.020331881,0.011028153,AR-42,HCT-116,0.046747814,0.0093037279999999,0.9927838418953621,[-0.3564847  -3.76134017  0.03137548]
ST486,910906,200,200_910906,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.962612908,0.603982248,0.12153199,0.046589939,0.033238305,0.022638644,0.032469866,0.03548599,0.035130587,Dacinostat,ST486,0.037387092,0.000355403,0.9998341647899169,[-0.62551606 -8.23832071  0.03218068]
CHL-1,910853,170,170_910853,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.976703254,0.740210152,0.310465082,0.017889645,0.007786611,0.007177288,0.009033643,0.008725196,0.007682534,Shikonin,CHL-1,0.0232967459999999,0.0010426619999999,0.9986327968966536,[-5.49155799e-01 -6.39249512e+00  1.43872473e-03]
